2026-08-14 05:35:13,845 | INFO | utils.human_approval | Approval requests pending: 1
2026-08-14 05:35:13,847 | INFO | utils.human_approval | Tool requested: create_customer
2026-08-14 05:35:13,847 | INFO | utils.human_approval | Arguments: {"displayName":"Contoso Ltd","type":"Company","addressLine1":"123 Main Street","addressLine2":"Suite 100","city":"Chennai","state":"Tamil Nadu","country":"India","postalCode":"600001","phoneNumber":"9876543210","email":"contact@contoso.com","website":"https://contoso.com"}
2026-08-14 05:35:15,633 | INFO | utils.human_approval | Approval decision: Approved
2026-08-14 05:35:15,637 | INFO | agent_framework | Function name: create_customer
2026-08-14 05:35:15,637 | ERROR | agent_framework | Function failed. Error: create_customer() got an unexpected keyword argument 'displayName'
2026-08-14 05:35:15,637 | INFO | agent_framework | Function duration: 0.000027s
2026-08-14 05:35:15,637 | WARNING | agent_framework | Function 'create_customer' raised an exception; returning an error result to the model. Set include_detailed_errors=True for the full detail. Exception: TypeError("create_customer() got an unexpected keyword argument 'displayName'")
2026-08-14 05:35:18,924 | INFO | utils.human_approval | Approval requests pending: 1
2026-08-14 05:35:18,924 | INFO | utils.human_approval | Tool requested: create_customer
2026-08-14 05:35:18,924 | INFO | utils.human_approval | Arguments: {"displayName":"Contoso Ltd","type":"Company","addressLine1":"123 Main Street","addressLine2":"Suite 100","city":"Chennai","state":"Tamil Nadu","country":"India","postalCode":"600001","phoneNumber":"9876543210","email":"contact@contoso.com","website":"https://contoso.com"}
2026-08-14 05:35:26,018 | INFO | utils.human_approval | Approval decision: Approved
2026-08-14 05:35:26,018 | INFO | agent_framework | Function name: create_customer
2026-08-14 05:35:26,018 | ERROR | agent_framework | Function failed. Error: create_customer() got an unexpected keyword argument 'displayName'
2026-08-14 05:35:26,018 | INFO | agent_framework | Function duration: 0.000024s
2026-08-14 05:35:26,018 | WARNING | agent_framework | Function 'create_customer' raised an exception; returning an error result to the model. Set include_detailed_errors=True for the full detail. Exception: TypeError("create_customer() got an unexpected keyword argument 'displayName'")
2026-08-14 05:36:44,018 | INFO | utils.human_approval | Approval requests pending: 1
2026-08-14 05:36:44,018 | INFO | utils.human_approval | Tool requested: create_customer
2026-08-14 05:36:44,020 | INFO | utils.human_approval | Arguments: {"displayName":"Contoso Ltd","type":"Company","addressLine1":"123 Main Street","addressLine2":"Suite 100","city":"Chennai","state":"Tamil Nadu","country":"India","postalCode":"600001","phoneNumber":"9876543210","email":"contact@contoso.com","website":"https://contoso.com"}
