2026-08-14 14:04:35,565 | INFO | utils.human_approval | Approval requests pending: 1
2026-08-14 14:04:35,567 | INFO | utils.human_approval | Tool requested: create_customer
2026-08-14 14:04:35,568 | INFO | utils.human_approval | Arguments: {"displayName":"Contoso Ltd","type":"Company","addressLine1":"123 Main Street","city":"Chennai","state":"Tamil Nadu","country":"India","postalCode":"600001","phoneNumber":"9876543210","email":"contact@contoso.com","website":"https://contoso.com"}
2026-08-14 14:04:38,216 | INFO | utils.human_approval | Approval decision: Approved
2026-08-14 14:04:38,223 | INFO | agent_framework | Function name: create_customer
2026-08-14 14:04:38,223 | ERROR | agent_framework | Function failed. Error: create_customer() got an unexpected keyword argument 'displayName'
2026-08-14 14:04:38,225 | INFO | agent_framework | Function duration: 0.000021s
2026-08-14 14:04:38,227 | WARNING | agent_framework | Function 'create_customer' raised an exception; returning an error result to the model. Set include_detailed_errors=True for the full detail. Exception: TypeError("create_customer() got an unexpected keyword argument 'displayName'")
2026-08-14 14:04:41,680 | INFO | utils.human_approval | Approval requests pending: 1
2026-08-14 14:04:41,680 | INFO | utils.human_approval | Tool requested: create_customer
2026-08-14 14:04:41,680 | INFO | utils.human_approval | Arguments: {"displayName":"Contoso Ltd"}
2026-08-14 14:04:44,247 | INFO | utils.human_approval | Approval decision: Approved
2026-08-14 14:04:44,247 | INFO | agent_framework | Function name: create_customer
2026-08-14 14:04:44,256 | ERROR | agent_framework | Function failed. Error: create_customer() got an unexpected keyword argument 'displayName'
2026-08-14 14:04:44,256 | INFO | agent_framework | Function duration: 0.000029s
2026-08-14 14:04:44,256 | WARNING | agent_framework | Function 'create_customer' raised an exception; returning an error result to the model. Set include_detailed_errors=True for the full detail. Exception: TypeError("create_customer() got an unexpected keyword argument 'displayName'")
2026-08-14 14:06:14,133 | INFO | utils.human_approval | Approval requests pending: 1
2026-08-14 14:06:14,133 | INFO | utils.human_approval | Tool requested: create_customer
2026-08-14 14:06:14,133 | INFO | utils.human_approval | Arguments: {"displayName":"ContosoLtd","type":"Company","addressLine1":"123 Main Street","city":"Chennai","state":"Tamil Nadu","country":"India","phoneNumber":"9876543210","website":"https://contoso.com"}
2026-08-14 14:06:20,993 | INFO | utils.human_approval | Approval decision: Approved
2026-08-14 14:06:20,993 | INFO | agent_framework | Function name: create_customer
2026-08-14 14:06:20,993 | ERROR | agent_framework | Function failed. Error: create_customer() got an unexpected keyword argument 'displayName'
2026-08-14 14:06:20,993 | INFO | agent_framework | Function duration: 0.000016s
2026-08-14 14:06:20,993 | WARNING | agent_framework | Function 'create_customer' raised an exception; returning an error result to the model. Set include_detailed_errors=True for the full detail. Exception: TypeError("create_customer() got an unexpected keyword argument 'displayName'")
2026-08-14 14:06:25,614 | INFO | utils.human_approval | Approval requests pending: 1
2026-08-14 14:06:25,614 | INFO | utils.human_approval | Tool requested: create_customer
2026-08-14 14:06:25,614 | INFO | utils.human_approval | Arguments: {"displayName":"ContosoLtd","type":"Company","addressLine1":"123 Main Street","city":"Chennai","state":"Tamil Nadu","country":"India","phoneNumber":"9876543210","website":"https://contoso.com"}
